DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.122411	12	2	1	4	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.122589	12	2	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.122696	12	2	2	5	6	1	1	0	5896	17	1	11.127 	0	0
DL	0.122821	12	2	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.122893	12	2	3	4	4	1	1	0	3929	17	0	11.127 	1	0.276073
DL	0.123089	12	3	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.123232	12	3	0	5	8	1	1	0	7859	17	0	11.127 	0	0.446939
DL	0.123321	12	3	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.123429	12	3	1	4	6	1	1	0	5896	17	0	11.127 	1	0.349981
DL	0.123589	12	3	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.123661	12	3	2	5	4	1	1	0	3929	17	1	11.127 	0	0
DL	0.123821	12	3	3	1	3	1	1	0	2743	16	0	11.127	0	0
DL	0.124089	12	4	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.124196	12	4	0	5	6	1	1	0	5896	17	1	11.127 	0	0
DL	0.124321	12	4	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.124429	12	4	1	4	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.124589	12	4	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.124732	12	4	2	5	8	1	1	0	7859	17	0	11.127 	1	0.446939
DL	0.124821	12	4	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.124911	12	4	3	4	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.125089	12	5	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.125125	12	5	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.125321	12	5	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.125464	12	5	1	4	8	1	1	0	7859	17	1	11.127 	0	0
DL	0.125589	12	5	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.125625	12	5	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.125821	12	5	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.125911	12	5	3	4	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.126089	12	6	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.126196	12	6	0	5	6	1	1	0	5896	17	0	11.127 	1	0.349981
DL	0.126321	12	6	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.126375	12	6	1	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.126589	12	6	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.126625	12	6	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.126821	12	6	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.126929	12	6	3	4	6	1	1	0	5896	17	1	11.127 	0	0
DL	0.127089	12	7	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.127125	12	7	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.127321	12	7	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.127411	12	7	1	4	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.127589	12	7	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.127696	12	7	2	5	6	1	1	0	5896	17	0	11.127 	1	0.349981
DL	0.127821	12	7	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.127875	12	7	3	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.128089	12	8	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.128179	12	8	0	5	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.128321	12	8	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.128429	12	8	1	4	6	1	1	0	5896	17	1	11.127 	0	0
DL	0.128589	12	8	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.128679	12	8	2	5	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.128821	12	8	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.128946	12	8	3	4	7	1	1	0	6879	17	0	11.127 	0	0.0105172
DL	0.129089	12	9	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.129179	12	9	0	5	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.129321	12	9	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.129411	12	9	1	4	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.129589	12	9	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.129625	12	9	2	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.129821	12	9	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.129893	12	9	3	4	4	1	1	0	3929	17	0	11.127 	1	0.276073
DL	0.130089	13	0	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.130179	13	0	0	5	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.130321	13	0	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.130375	13	0	1	4	3	1	1	0	2949	17	0	11.127 	1	0.193762
DL	0.130589	13	0	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.130661	13	0	2	5	4	1	1	0	3929	17	1	11.127 	0	0
DL	0.130821	13	0	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.130839	13	0	3	4	1	1	1	0	983	17	0	11.127 	0	0.09483
DL	0.131089	13	1	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.131143	13	1	0	5	3	1	1	0	2949	17	1	11.127 	0	0
UL	0.131214	13	1	0	8	4	1	1	0	3929	17	0	11.127 	0	0.276073
DL	0.131321	13	1	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.131429	13	1	1	4	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.131589	13	1	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.131679	13	1	2	5	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.131821	13	1	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.131839	13	1	3	4	1	1	1	0	983	17	0	11.127 	0	0.09483
DL	0.132089	13	2	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.132125	13	2	0	5	2	1	1	0	1966	17	0	11.127 	0	0.149161
DL	0.132321	13	2	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.132375	13	2	1	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.132589	13	2	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.132679	13	2	2	5	5	1	1	0	4913	17	0	11.127 	1	0.314022
DL	0.132821	13	2	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.132875	13	2	3	4	3	1	1	0	2949	17	0	11.127 	0	0.193762
DL	0.133089	13	3	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.133125	13	3	0	5	2	1	1	0	1966	17	0	11.127 	1	0.149161
DL	0.133321	13	3	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.133411	13	3	1	4	5	1	1	0	4913	17	1	11.127 	0	0
DL	0.133589	13	3	2	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.133625	13	3	2	5	2	1	1	0	1966	17	0	11.127 	1	0.149161
DL	0.133821	13	3	3	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.133857	13	3	3	4	2	1	1	0	1966	17	1	11.127 	0	0
UL	0.133946	13	3	3	6	5	1	1	0	4913	17	0	11.127 	0	0.314022
DL	0.134089	13	4	0	1	4	1	1	0	3657	16	0	11.127	0	0
UL	0.134196	13	4	0	5	6	1	1	0	5896	17	0	11.127 	0	0.349981
DL	0.134321	13	4	1	1	3	1	1	0	2743	16	0	11.127	0	0
UL	0.134357	13	4	1	4	2	1	1	0	1966	17	1	11.127 	0	0
